area_id,desc
14001_2023,"full address of the given location is Shinuiju, Shinuiju, PRK
area of district (km^2) of the given location is 62.097
Population of the administrative division including this area is 359341.0
Sum of nightlight intensity is 1080.531
Average nightlight intensity is 6.394
Land cover ratio of development is 0.341
Land cover ratio of building is 0.03
Land cover ratio of agricultural is 0.138
distance to the nearest airport is 145.307
distance to the nearest port is 197.95"
3005_2024,"full address of the given location is Chigyong, Hamgyong-Namdo, PRK
area of district (km^2) of the given location is 6.603
Population of the administrative division including this area is 133896.0
Sum of nightlight intensity is 20.794
Average nightlight intensity is 0.693
Land cover ratio of development is 0.217
Land cover ratio of building is 0.029
Land cover ratio of agricultural is 0.199
distance to the nearest airport is 141.666
distance to the nearest port is 208.3"
3011_2024,"full address of the given location is Geumya-gun, Hamgyeongnam-do, PRK
area of district (km^2) of the given location is 6.44
Population of the administrative division including this area is 211140.0
Sum of nightlight intensity is 30.109
Average nightlight intensity is 0.912
Land cover ratio of development is 0.19
Land cover ratio of building is 0.023
Land cover ratio of agricultural is 0.071
distance to the nearest airport is 116.991
distance to the nearest port is 189.26"
10019_2024,"full address of the given location is Seongcheon-gun, Pyongannam-do, PRK
area of district (km^2) of the given location is 10.078
Population of the administrative division including this area is 149809.0
Sum of nightlight intensity is 18.363
Average nightlight intensity is 0.375
Land cover ratio of development is 0.138
Land cover ratio of building is 0.017
Land cover ratio of agricultural is 0.047
distance to the nearest airport is 33.705
distance to the nearest port is 236.45"
10020_2024,"full address of the given location is Sukcheon-gun, Pyongannam-do, PRK
area of district (km^2) of the given location is 14.04
Population of the administrative division including this area is 178509.0
Sum of nightlight intensity is 27.777
Average nightlight intensity is 0.661
Land cover ratio of development is 0.196
Land cover ratio of building is 0.025
Land cover ratio of agricultural is 0.162
distance to the nearest airport is 22.552
distance to the nearest port is 290.4"
10013_2024,"full address of the given location is Ch'ongjongsang-Dong, P'Yongan-Namdo, PRK
area of district (km^2) of the given location is 9.279
Population of the administrative division including this area is 149851.0
Sum of nightlight intensity is 26.539
Average nightlight intensity is 0.68
Land cover ratio of development is 0.195
Land cover ratio of building is 0.04
Land cover ratio of agricultural is 0.212
distance to the nearest airport is 52.732
distance to the nearest port is 302.24"
7006_2024,"full address of the given location is Icheon-gun, Gangwon-do, PRK
area of district (km^2) of the given location is 1.372
Population of the administrative division including this area is 57563.0
Sum of nightlight intensity is 3.281
Average nightlight intensity is 0.469
Land cover ratio of development is 0.082
Land cover ratio of building is 0.015
Land cover ratio of agricultural is 0.02
distance to the nearest airport is 104.574
distance to the nearest port is 151.82"
7008_2024,"full address of the given location is Gosan-gun, Gangwon-do, PRK
area of district (km^2) of the given location is 12.226
Population of the administrative division including this area is 103579.0
Sum of nightlight intensity is 27.121
Average nightlight intensity is 0.468
Land cover ratio of development is 0.133
Land cover ratio of building is 0.016
Land cover ratio of agricultural is 0.154
distance to the nearest airport is 140.176
distance to the nearest port is 125.20"
9009_2024,"full address of the given location is Gujang-gun, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 15.406
Population of the administrative division including this area is 139337.0
Sum of nightlight intensity is 55.945
Average nightlight intensity is 0.478
Land cover ratio of development is 0.159
Land cover ratio of building is 0.029
Land cover ratio of agricultural is 0.017
distance to the nearest airport is 51.196
distance to the nearest port is 286.32"
9010_2024,"full address of the given location is Guseong-si, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 24.338
Population of the administrative division including this area is 196515.0
Sum of nightlight intensity is 23.262
Average nightlight intensity is 0.277
Land cover ratio of development is 0.161
Land cover ratio of building is 0.02
Land cover ratio of agricultural is 0.082
distance to the nearest airport is 84.047
distance to the nearest port is 268.10"
9023_2024,"full address of the given location is Unsan-gun, Pyonganbuk-do, PRK
area of district (km^2) of the given location is 15.073
Population of the administrative division including this area is 102928.0
Sum of nightlight intensity is 28.337
Average nightlight intensity is 0.691
Land cover ratio of development is 0.146
Land cover ratio of building is 0.014
Land cover ratio of agricultural is 0.061
distance to the nearest airport is 77.982
distance to the nearest port is 314.51"
1016_2024,"full address of the given location is Dongsin-gun, Jagang-do, PRK
area of district (km^2) of the given location is 5.213
Population of the administrative division including this area is 47460.0
Sum of nightlight intensity is 4.382
Average nightlight intensity is 0.169
Land cover ratio of development is 0.144
Land cover ratio of building is 0.009
Land cover ratio of agricultural is 0.025
distance to the nearest airport is 105.613
distance to the nearest port is 305.45"
1017_2024,"full address of the given location is Wusi-gun, Jagang-do, PRK
area of district (km^2) of the given location is 6.875
Population of the administrative division including this area is 42919.0
Sum of nightlight intensity is 13.473
Average nightlight intensity is 0.299
Land cover ratio of development is 0.089
Land cover ratio of building is 0.014
Land cover ratio of agricultural is 0.031
distance to the nearest airport is 141.954
distance to the nearest port is 290."
5003_2024,"full address of the given location is Sainei, Hwanghae-Namdo, PRK
area of district (km^2) of the given location is 13.071
Population of the administrative division including this area is 125631.0
Sum of nightlight intensity is 46.451
Average nightlight intensity is 0.683
Land cover ratio of development is 0.165
Land cover ratio of building is 0.019
Land cover ratio of agricultural is 0.071
distance to the nearest airport is 89.337
distance to the nearest port is 260.75"
5018_2024,"full address of the given location is Euncheon-gun, Hwanghaenam-do, PRK
area of district (km^2) of the given location is 11.87
Population of the administrative division including this area is 95597.0
Sum of nightlight intensity is 21.245
Average nightlight intensity is 0.386
Land cover ratio of development is 0.148
Land cover ratio of building is 0.014
Land cover ratio of agricultural is 0.086
distance to the nearest airport is 73.696
distance to the nearest port is 279.33"
4015_2024,"full address of the given location is Eunpa-gun, Hwanghaebuk-do, PRK
area of district (km^2) of the given location is 11.003
Population of the administrative division including this area is 110988.0
Sum of nightlight intensity is 24.319
Average nightlight intensity is 0.54
Land cover ratio of development is 0.123
Land cover ratio of building is 0.02
Land cover ratio of agricultural is 0.127
distance to the nearest airport is 88.279
distance to the nearest port is 244.98"
4017_2024,"full address of the given location is Yeontan-gun, Hwanghaebuk-do, PRK
area of district (km^2) of the given location is 15.045
Population of the administrative division including this area is 73032.0
Sum of nightlight intensity is 19.078
Average nightlight intensity is 0.561
Land cover ratio of development is 0.158
Land cover ratio of building is 0.012
Land cover ratio of agricultural is 0.072
distance to the nearest airport is 70.339
distance to the nearest port is 232.21"
2007_2024,"full address of the given location is Gyeongseong-gun, Hamgyeongbuk-do, PRK
area of district (km^2) of the given location is 20.698
Population of the administrative division including this area is 105909.0
Sum of nightlight intensity is 87.321
Average nightlight intensity is 0.414
Land cover ratio of development is 0.235
Land cover ratio of building is 0.044
Land cover ratio of agricultural is 0.132
distance to the nearest airport is 288.509
distance to the nearest port is 252.22"
2011_2024,"full address of the given location is Eorang-gun, Hamgyeongbuk-do, PRK
area of district (km^2) of the given location is 19.944
Population of the administrative division including this area is 87757.0
Sum of nightlight intensity is 14.499
Average nightlight intensity is 0.112
Land cover ratio of development is 0.068
Land cover ratio of building is 0.008
Land cover ratio of agricultural is 0.093
distance to the nearest airport is 296.227
distance to the nearest port is 259.5"
13004_2024,"full address of the given location is Kimhyongjik-gun, Yanggang-do, PRK
area of district (km^2) of the given location is 6.916
Population of the administrative division including this area is 57729.0
Sum of nightlight intensity is 23.51
Average nightlight intensity is 1.176
Land cover ratio of development is 0.111
Land cover ratio of building is 0.017
Land cover ratio of agricultural is 0.057
distance to the nearest airport is 259.559
distance to the nearest port is 382.84"
6001_2024,"full address of the given location is Jangpung-gun, Gaeseong-si, PRK
area of district (km^2) of the given location is 7.862
Population of the administrative division including this area is 69104.0
Sum of nightlight intensity is 5.593
Average nightlight intensity is 0.18
Land cover ratio of development is 0.116
Land cover ratio of building is 0.006
Land cover ratio of agricultural is 0.026
distance to the nearest airport is 60.236
distance to the nearest port is 168.44"
